id,english_term,korean_term,abbreviation,category,workflow_stage,plain_description,business_example,related_terms,source_url,screen_hint,level,review_status
sap-ariba,SAP Ariba,SAP 아리바,,공통,공통,SAP의 구매/소싱/계약/송장 관련 클라우드 솔루션군을 가리키는 이름이다.,회사가 구매 요청부터 공급업체 협업과 송장 처리까지 SAP Ariba에서 관리한다.,SAP Business Network; Buying and Invoicing,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,제품/솔루션 설명,기본,검수 필요
sap-business-network,SAP Business Network,SAP 비즈니스 네트워크,SBN,공급업체 네트워크,공급업체 협업,구매자와 공급업체가 거래 문서와 협업 정보를 주고받는 SAP의 비즈니스 네트워크다.,공급업체가 네트워크에서 발주서를 확인하고 송장을 제출한다.,Supplier; Purchase Order; Invoice,https://help.sap.com/docs/business-network-for-procurement/introduction-to-business-network/about-sap-business-network,공급업체 포털/네트워크,기본,검수 필요
buyer,Buyer,구매자,,공통,공통,물품이나 서비스를 구매하는 조직 또는 사용자 역할이다.,구매자가 공급업체에 발주서를 보낸다.,Supplier; Purchase Order,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,사용자/조직 역할,기본,검수 필요
supplier,Supplier,공급업체,,공급업체 네트워크,공급업체 협업,구매자에게 물품이나 서비스를 제공하는 회사 또는 거래 상대방이다.,공급업체가 SAP Business Network에서 주문을 확인하고 납품한다.,Buyer; Supplier Enablement,https://learning.sap.com/products/intelligent-spend-management/business-network,공급업체 계정/프로필,기본,검수 필요
supplier-enablement,Supplier Enablement,공급업체 활성화,,공급업체 네트워크,공급업체 온보딩,공급업체가 SAP Business Network에서 거래할 수 있도록 초대하고 연결하는 과정이다.,신규 공급업체를 초대해 계정을 만들고 구매자와 거래 관계를 맺게 한다.,Supplier; SAP Business Network,https://learning.sap.com/products/intelligent-spend-management/business-network,공급업체 온보딩,실무,검수 필요
sourcing,Sourcing,소싱,,소싱,소싱,공급업체를 찾고 견적이나 제안을 받아 구매 조건을 비교하는 활동이다.,여러 공급업체에게 RFQ를 보내 가격과 조건을 비교한다.,RFQ; Event; Award,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,소싱 이벤트,기본,검수 필요
sourcing-event,Sourcing Event,소싱 이벤트,,소싱,소싱,공급업체가 응답할 수 있도록 만든 입찰/견적/제안 요청 단위다.,구매팀이 노트북 공급업체 선정을 위해 이벤트를 열고 견적을 받는다.,RFQ; Bid; Award,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,이벤트 목록/이벤트 상세,기본,검수 필요
rfq,Request for Quotation,견적 요청,RFQ,소싱,소싱,공급업체에게 가격과 조건을 제안해 달라고 요청하는 문서나 이벤트다.,동일 품목에 대해 여러 공급업체의 견적을 비교한다.,Sourcing Event; Quote; Award,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,RFQ/이벤트 생성,기본,검수 필요
bid,Bid,입찰 응답,,소싱,소싱,공급업체가 소싱 이벤트에 제출하는 가격이나 조건 제안이다.,공급업체가 납기와 단가를 포함해 입찰 응답을 제출한다.,Sourcing Event; Award,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,이벤트 응답,실무,검수 필요
award,Award,낙찰/선정,,소싱,소싱,소싱 결과에 따라 특정 공급업체나 품목을 선택하는 결정이다.,가장 적합한 조건을 제안한 공급업체를 선정한다.,Sourcing Event; Contract; Purchase Order,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,이벤트 평가/선정,실무,검수 필요
contract,Contract,계약,,계약,계약,구매자와 공급업체 사이의 가격/조건/기간 등을 정한 약정이다.,연간 단가 계약을 맺고 이후 발주가 계약 조건을 참조한다.,Contract Workspace; Release Order,https://help.sap.com/docs/buying-invoicing/managing-contract-compliance/contract-compliance-in-sap-ariba-procurement-solutions,계약 목록/계약 상세,기본,검수 필요
contract-workspace,Contract Workspace,계약 워크스페이스,,계약,계약,계약 문서와 승인 작업 및 관련 정보를 관리하는 작업 공간이다.,계약 담당자가 워크스페이스에서 계약서 초안과 승인 작업을 관리한다.,Contract; Approval,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,계약 워크스페이스,실무,검수 필요
